Player,Tm,G,PTS
Natalie Achonwa,IND,30,8.7
Kennedy Burke,IND,31,4.4
Candice Dupree,IND,34,11.6
Shenise Johnson,IND,17,4.9
Paris Kea,IND,11,2.6
Betnijah Laney,IND,34,5.6
Stephanie Mavunga,IND,24,2.5
Erica McCall,IND,15,0.9
Teaira McCowan,IND,34,10.0
Kelsey Mitchell,IND,34,13.6
Tiffany Mitchell,IND,33,9.7
Erica Wheeler,IND,34,10.1
